"heuristic","sla","exec","cost"
"99","OP","70000","44","19.95"
"100","OR","70000","34","9.03"
"101","CO","70000","30","6.195"
"102","CC","70000","58","22.155"
"103","CP","70000","87","54.005"
"104","CR","70000","50","20.16"
"105","PO","70000","43","8.715"
"106","PC","70000","103","39.025"
"107","PP","70000","174","106.68"
"108","PR","70000","82","30.625"
"109","RO","70000","33","6.685"
"110","RC","70000","59","22.295"
"111","RP","70000","93","54.985"
"112","RR","70000","49","11.9"
"113","OO","80000","32","4.445"
"114","OC","80000","33","7.525"
"115","OP","80000","44","19.88"
"116","OR","80000","29","6.405"
"117","CO","80000","29","5.985"
"118","CC","80000","56","21.735"
"119","CP","80000","86","53.795"
"120","CR","80000","37","9.205"
"121","PO","80000","38","6.615"
"122","PC","80000","103","38.955"
"123","PP","80000","174","106.61"
"124","PR","80000","90","39.48"
"125","RO","80000","31","6.475"
"126","RC","80000","69","25.06"
"127","RP","80000","100","61.88"
"128","RR","80000","31","6.685"
"129","OO","90000","24","3.22"
"130","OC","90000","28","6.72"
"131","OP","90000","40","19.215"
"132","OR","90000","30","8.435"
"133","CO","90000","25","4.06"
"134","CC","90000","53","19.985"
"135","CP","90000","87","53.865"
"136","CR","90000","61","27.685"
"137","PO","90000","35","5.53"
"138","PC","90000","102","38.395"
"139","PP","90000","177","109.13"
"140","PR","90000","63","21.945"
"141","RO","90000","24","3.255"
"142","RC","90000","51","18.445"
"143","RP","90000","87","53.9"
"144","RR","90000","51","18.445"
"145","OO","100000","21","2.87"
"146","OC","100000","26","6.44"
"147","OP","100000","38","18.935"
"148","OR","100000","26","6.475"
"149","CO","100000","22","3.535"
"150","CC","100000","49","18.725"
"151","CP","100000","86","53.76"
"152","CR","100000","32","8.4"
"153","PO","100000","34","5.04"
"154","PC","100000","103","39.69"
"155","PP","100000","188","118.44"
"156","PR","100000","87","39.235"
"157","RO","100000","22","3.045"
"158","RC","100000","51","18.9"
"159","RP","100000","100","64.015"
"160","RR","100000","43","13.93"
"161","RR10",10000,66.2,43.6275
"162","RR50",10000,65.8,43.7031
"163","RR100",10000,63.99,41.83515
"164","RR10",20000,66.2,36.358
"165","RR50",20000,69,38.7086
"166","RR100",20000,69.41,38.8248
"167","RR10",30000,63.2,26.271
"168","RR50",30000,63.38,25.928
"169","RR100",30000,63.25,25.7068
"170","RR10",40000,56.7,21.322
"171","RR50",40000,59.68,23.0328
"172","RR100",40000,59.22,22.6639
"173","RR10",50000,50.5,17.8255
"174","RR50",50000,50.18,17.8073
"175","RR100",50000,50.5,18.0439
"176","RR10",60000,43.8,14.7525
"177","RR50",60000,46.28,16.0489
"178","RR100",60000,46.94,16.5956
"179","RR10",70000,43,14.7595
"180","RR50",70000,46.14,16.6992
"181","RR100",70000,46.55,16.87665
"182","RR10",80000,48.7,16.821
"183","RR50",80000,48.5,17.626
"184","RR100",80000,47.38,16.6201
"185","RR10",90000,41.5,15.463
"186","RR50",90000,42.66,15.8235
"187","RR100",90000,44.47,16.20255
"188","RR10",100000,40.6,14.504
"189","RR50",100000,41.68,15.26
"190","RR100",100000,41.73,15.2803
