heuristic,workload,configuration,metsla,sla,predict
OO,800,3_m3_2xlarge,false,10000,false
OO,800,4_m3_2xlarge,false,10000,false
OO,900,1_m3_medium,false,10000,true
OO,900,1_c3_large,false,10000,false
OO,900,1_m3_large,false,10000,true
OO,900,2_m3_medium,false,10000,true
OO,900,2_c3_large,false,10000,false
OO,900,1_c3_xlarge,false,10000,false
OO,900,3_m3_medium,false,10000,true
OO,900,2_m3_large,false,10000,true
OO,900,1_m3_xlarge,false,10000,true
OO,900,4_m3_medium,false,10000,true
OO,900,3_c3_large,false,10000,false
OO,900,2_c3_xlarge,false,10000,false
OO,900,3_m3_large,false,10000,true
OO,900,1_c3_2xlarge,false,10000,false
OO,900,4_c3_large,false,10000,false
OO,900,4_m3_large,false,10000,true
OO,900,2_m3_xlarge,false,10000,true
OO,900,1_m3_2xlarge,false,10000,true
OO,900,3_c3_xlarge,false,10000,false
OO,900,4_c3_xlarge,false,10000,false
OO,900,2_c3_2xlarge,false,10000,false
OO,900,3_m3_xlarge,false,10000,true
OO,900,2_m3_2xlarge,false,10000,true
OO,900,4_m3_xlarge,false,10000,true
OO,900,3_c3_2xlarge,false,10000,false
OO,900,4_c3_2xlarge,false,10000,false
OO,900,3_m3_2xlarge,false,10000,true
OO,900,4_m3_2xlarge,false,10000,false
OO,1000,1_m3_medium,false,10000,false
OO,1000,1_c3_large,false,10000,false
OO,1000,1_m3_large,false,10000,false
OO,1000,2_m3_medium,false,10000,false
OO,1000,2_c3_large,false,10000,false
OO,1000,1_c3_xlarge,false,10000,false
OO,1000,3_m3_medium,false,10000,false
OO,1000,2_m3_large,false,10000,false
OO,1000,1_m3_xlarge,false,10000,false
OO,1000,4_m3_medium,false,10000,false
OO,1000,3_c3_large,false,10000,false
OO,1000,2_c3_xlarge,false,10000,false
OO,1000,3_m3_large,false,10000,false
OO,1000,1_c3_2xlarge,false,10000,false
OO,1000,4_c3_large,false,10000,false
OO,1000,4_m3_large,false,10000,false
OO,1000,2_m3_xlarge,false,10000,false
OO,1000,1_m3_2xlarge,false,10000,false
OO,1000,3_c3_xlarge,false,10000,false
OO,1000,4_c3_xlarge,false,10000,false
OO,1000,2_c3_2xlarge,false,10000,false
OO,1000,3_m3_xlarge,false,10000,false
OO,1000,2_m3_2xlarge,false,10000,false
OO,1000,4_m3_xlarge,false,10000,false
OO,1000,3_c3_2xlarge,false,10000,false
OO,1000,4_c3_2xlarge,false,10000,false
OO,1000,3_m3_2xlarge,false,10000,false
OO,1000,4_m3_2xlarge,false,10000,false
OO,100,1_m3_medium,false,20000,false
OO,100,1_c3_large,true,20000,true
OO,100,1_m3_large,true,20000,true
OO,100,2_m3_medium,true,20000,false
OO,100,2_c3_large,true,20000,true
OO,100,1_c3_xlarge,true,20000,true
OO,100,3_m3_medium,true,20000,true
OO,100,2_m3_large,true,20000,true
OO,100,1_m3_xlarge,true,20000,true
OO,100,4_m3_medium,true,20000,true
OO,100,3_c3_large,true,20000,true
OO,100,2_c3_xlarge,true,20000,true
OO,100,3_m3_large,true,20000,true
OO,100,1_c3_2xlarge,true,20000,true
OO,100,4_c3_large,true,20000,true
OO,100,4_m3_large,true,20000,true
OO,100,2_m3_xlarge,true,20000,true
OO,100,1_m3_2xlarge,true,20000,true
OO,100,3_c3_xlarge,true,20000,true
OO,100,4_c3_xlarge,true,20000,true
OO,100,2_c3_2xlarge,true,20000,true
OO,100,3_m3_xlarge,true,20000,true
OO,100,2_m3_2xlarge,true,20000,true
OO,100,4_m3_xlarge,true,20000,true
OO,100,3_c3_2xlarge,true,20000,true
OO,100,4_c3_2xlarge,true,20000,true
OO,100,3_m3_2xlarge,true,20000,true
OO,100,4_m3_2xlarge,true,20000,true
OO,200,1_m3_medium,false,20000,false
OO,200,1_c3_large,true,20000,false
OO,200,1_m3_large,true,20000,false
OO,200,2_m3_medium,false,20000,false
OO,200,2_c3_large,true,20000,true
OO,200,1_c3_xlarge,true,20000,true
OO,200,3_m3_medium,true,20000,true
OO,200,2_m3_large,true,20000,true
OO,200,1_m3_xlarge,true,20000,true
OO,200,4_m3_medium,true,20000,true
OO,200,3_c3_large,true,20000,true
OO,200,2_c3_xlarge,true,20000,true
OO,200,3_m3_large,true,20000,true
OO,200,1_c3_2xlarge,true,20000,true
OO,200,4_c3_large,true,20000,true
OO,200,4_m3_large,true,20000,true
OO,200,2_m3_xlarge,true,20000,true
OO,200,1_m3_2xlarge,true,20000,true
OO,200,3_c3_xlarge,true,20000,true
OO,200,4_c3_xlarge,true,20000,true
OO,200,2_c3_2xlarge,true,20000,true
OO,200,3_m3_xlarge,true,20000,true
OO,200,2_m3_2xlarge,true,20000,true
OO,200,4_m3_xlarge,true,20000,true
OO,200,3_c3_2xlarge,true,20000,true
OO,200,4_c3_2xlarge,true,20000,true
OO,200,3_m3_2xlarge,true,20000,true
OO,200,4_m3_2xlarge,true,20000,true
OO,300,1_m3_medium,false,20000,false
OO,300,1_c3_large,false,20000,false
OO,300,1_m3_large,false,20000,false
OO,300,2_m3_medium,false,20000,false
OO,300,2_c3_large,true,20000,true
OO,300,1_c3_xlarge,true,20000,true
OO,300,3_m3_medium,false,20000,false
OO,300,2_m3_large,true,20000,true
OO,300,1_m3_xlarge,true,20000,true
OO,300,4_m3_medium,true,20000,false
OO,300,3_c3_large,true,20000,true
OO,300,2_c3_xlarge,true,20000,true
